Source,Target
71762380,16027672
71762380,121553091
71762380,15005347
71762380,16213093
71762380,10250992
71762380,41485866
71762380,1019381
71762380,154479578
71762380,3129095903
71762380,84000178
71762380,386505090
71762380,7516232
71762380,23611315
71762380,17645638
71762380,9233842
71762380,16821279
71762380,169129420
71762380,403608779
71762380,3221480779
71762380,17589614
71762380,264495837
71762380,526292034
71762380,60760075
71762380,816653
71762380,2873325694
71762380,28576494
71762380,32167968
71762380,4917955339
71762380,49973100
71762380,120306766
71762380,783092
71762380,82323304
71762380,1006536409
71762380,310429679
71762380,34698700
71762380,784165
71762380,21385774
71762380,4888434672
71762380,"9,87103302042055E+017"
71762380,"1,05948434807488E+018"
71762380,"7,88643333656703E+017"
71762380,213135804
71762380,112510597
71762380,34212459
71762380,262543897
71762380,161328883
71762380,2244994945
71762380,227928681
71762380,962517114
71762380,22651735
71762380,"1,13518054548959E+018"
71762380,"7,88294431317365E+017"
71762380,1029222468
71762380,101280438
71762380,3110001945
71762380,1344951
71762380,216888354
71762380,10680142
71762380,50052513
71762380,3055652033
71762380,1617787723
71762380,107471115
71762380,1219800504
71762380,4289247312
71762380,"8,05981402143465E+017"
71762380,"9,24335759066219E+017"
71762380,4748574370
71762380,"8,75349400930984E+017"
71762380,553557115
71762380,44320986
71762380,"7,69603650180096E+017"
71762380,14815775
71762380,4280096173
71762380,15427422
71762380,"7,34010048712675E+017"
71762380,36243342
71762380,23385603
71762380,26304514
71762380,3229989565
71762380,428058083
71762380,177312880
71762380,16809032
71762380,16501771
71762380,986276359
71762380,22903583
71762380,5915782
71762380,14585205
71762380,4889353644
71762380,15168355
71762380,3320501925
71762380,973586538
71762380,2480951
71762380,17465603
71762380,169015850
71762380,167234557
71762380,24253645
71762380,8633582
71762380,12579252
71762380,363924887
71762380,"9,56875477280371E+017"
71762380,18307723
71762380,15134408
71762380,"8,47190167542653E+017"
71762380,128717738
71762380,1284236868
71762380,202087082
71762380,"1,10772820733831E+018"
71762380,228454510
71762380,"7,04730218401894E+017"
71762380,14325738
71762380,82363
71762380,828100297
71762380,19734656
71762380,53127409
71762380,2291039762
71762380,"9,07504383193166E+017"
71762380,109660581
71762380,240378475
71762380,14934225
71762380,986220194
71762380,10712162
71762380,19218984
71762380,3333123749
71762380,181421156
71762380,"9,08813425765179E+017"
71762380,285457237
71762380,47920914
71762380,20711189
71762380,3631301
71762380,813402
71762380,21594615
71762380,16597587
71762380,6013662
71762380,1006391
71762380,200278362
71762380,22514616
71762380,107080421
71762380,72722761
71762380,219723542
71762380,40677549
71762380,"9,73471016985874E+017"
71762380,"7,88390172115276E+017"
71762380,147912870
71762380,"7,45582409257714E+017"
71762380,1527801247
71762380,"9,01773635962196E+017"
71762380,480625146
71762380,23092340
71762380,2892290399
71762380,2831015491
71762380,280477264
71762380,"9,73882769523839E+017"
71762380,22848759
71762380,19057110
71762380,77073780
71762380,814641
71762380,2416315770
71762380,7156982
71762380,14111858
71762380,"8,01230931272995E+017"
71762380,16454013
71762380,2675014715
71762380,8980232
71762380,14893620
71762380,13682312
71762380,21137944
71762380,2885031
71762380,6140222
71762380,110198955
71762380,1565159863
71762380,118133101
71762380,"7,55892943156875E+017"
71762380,1998691
71762380,15662351
71762380,55993
71762380,755070
71762380,"7,49661321977819E+017"
71762380,3269048996
71762380,"8,05046388153348E+017"
71762380,14698489
71762380,54858446
71762380,36104435
71762380,5955112
71762380,16002126
71762380,3294230398
71762380,224653586
71762380,18093153
71762380,44186232
71762380,47967527
71762380,17302537
71762380,23081953
71762380,51627206
71762380,"8,84243999653081E+017"
71762380,62533
71762380,30841465
71762380,14053823
71762380,87744974
71762380,"9,76425799984275E+017"
71762380,35783508
71762380,6141402
71762380,23924865
71762380,14599035
71762380,80703
71762380,12160
71762380,14826965
71762380,93434375
71762380,"8,94719812366197E+017"
71762380,709644992
71762380,"8,32013133161959E+017"
